	0	1
325	Ципко четко показал ответственность марксистской теории за те преступления , что случились у нас после 1917 года , причем еще до Сталина .	O O O O O O O O O O O O O O O O O O O O O B-PER O
326	В очереди , в дверях , в благах .	O O O O O O O O O
327	Теперь пойдут 11.10 на Гардез .	O O O O B-LOC O
328	Такое время , такой век .	O O O O O O
329	Вопрос о госзаказе .	O O O O
330	Зависть ?	O O
331	Почему же нельзя петь свою русскую хоровую музыку .	O O O O O O O O O
332	Недавно читал лекцию в Ленсовета , кажется , о Пастернаке , которого не любит , потом пришел , говорил об Ивинской .	O O O O B-ORG O O O O B-PER O O O O O O O O O O B-PER O
333	Хорошо сказано по смыслу , но фраза проседает на слове « снова » , уходит вниз .	O O O O O O O O O O O O O O O O O
334	Он самодостаточен .	O O O
335	« Устроил » сегодня Тамару в посольство к Бовину , в Израиль .	O O O O B-PER O B-FAC O B-PER O O B-LOC O
336	Я же там пишу : « былая щедрая растрата душевного огня , что был высок и чист » !..	O O O O O O O O O O O O O O O O O O O
337	Они двигаются и кричат .	O O O O O
338	Народ сирота , и ясно , что над ним нависает гроза .	O B-CHAR O O O O O O O O O O
339	Аэродромная служба ?	B-ORG I-ORG O
340	На нем по-армянски выбиты слова : « Родившись смертным , ты обессмертил свое имя » .	O O O O O O O O O O O O O O O O
341	Как-то , устав крутить штурвал в снегопаде , под самой кромкой тонких облаков , рискнули , полезли вверх и через пару минут выскочили в яркий сияющий мир , где между синим небом и белой поверхностью облаков — никого , одни мы …	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
342	Да и вообще : больше я читал западного , чем русской классики .	O O O O O O O O O O O O O
343	Час пик позади .	O O O O
344	Загладин перевел и , видно , послал « объекту » восторгов .	B-PER O O O O O O O O O O O
345	Еще одно завоевание в пользу реальности нового мышления .	O O O O O O O O O
346	Итак , я стала заниматься .	O O O O O O
347	Прощай , Балтия , наверное , навсегда !	O O B-LOC O O O O O
348	"Из Норильска нас повезли в Талнах < com id = "" 1552485754149 "" / > ."	O B-LOC O O O B-LOC O O O O O O O O O O
349	Из десятка выступлений только три–четыре были более или менее в горбачевском стиле .	O O O O O O O O O O O O O
350	Статья в “ Коммунисте ” мне достаточно много и ясно сказала ...	O O O O O O O O O O O O
351	Обедали в лагере « Голубые озера » . ( нрзб ) с меня всю одежду , очень была зараженная .	O O B-FAC I-FAC I-FAC I-FAC I-FAC O O O O O O O O O O O O O
352	Алеша поднять голову так и не смог , хотя с вечера слегка собирался .	B-PER O O O O O O O O O O O O O
353	Утром разбудил Женя .	O O B-PER O
354	Начал Женечка .	O B-PER O
355	* 23 мая . четверг * .	O O O O O O O
356	Алексеич давно поставил точку в дискуссии .	B-PER O O O O O O
357	Вот писатели и наступают на горло собственной песне .	O B-CHAR O O O O O O O
358	Он же рассказал , что один кабульский гость из наших сегодня утром был весьма и весьма напуган .	O O O O O O O O O O O O O O O O O O
359	В перечне предусматривалось только самое необходимое .	O O O O O O O
360	Оно ему надо — эта перестройка ?	O O O O O O O
361	Юра придумал хороший вечер к дню рождения Пушкина .	B-PER O O O O O O B-PER O
362	Шадрин назвал их антисоветской пропагандой .	B-PER O O O O O
363	Мне ( про Руцкого ) : хороший , честный парень ...	O O O B-PER O O O O O B-CHAR O
364	Я не жалею , что не попадаю внутрь .	O O O O O O O O O
365	Они пойдут по вопросу создания комиссии по наследству В . С . Высоцкого .	O O O O O O O O B-PER I-PER I-PER I-PER I-PER O
366	Нельзя ничего делать молча .	O O O O O
367	Из шестидесяти операций , проведенных за пять лет войны , сорок афганцы провели самостоятельно .	O O O O O O O O O O O B-CHAR O O O
368	2 ) Твое поведение зависит от меня .	O O O O O O O O
369	Потребление чая я здесь никак не могу регулировать .	O O O O O O O O O
370	Пора возвращаться в город .	O O O B-LOC O
371	Боятся приватизации театра Любимовым .	O O B-FAC B-PER O
372	Опытный и умелый нравственно здоровый врач для исцеления больного пользуется разумными способами лечения .	O O O O O B-CHAR O O O O O O O O
373	Или , наконец : традиция есть творчество вне самопознания .	O O O O O O O O O O
374	Порочен же весь проект в целом .	O O O O O O O
375	Судя по видимости 8 км , силе ветра 10 м / сек и синоптической карте , можно предположить , что там просто ветер .	O O O O O O O O O O O O O O O O O O O O O O O O
376	Землетрясения ночью не было .	O O O O O
377	Я больше не хотела и не могла замыкать круг своей жизни на нем одном .	O O O O O O O O O O O O O O O
378	Ограничить для того , чтобы иметь возможность помогать Люде .	O O O O O O O O B-PER O
379	Прочитал 40 часов лекций в МВПШ .	O O O O O B-ORG O
380	8 ) Шесть раз В . при помощи фантастического вранья , не нашедшего затем никакого подтверждения даже в таком « липовом деле » , как мое , продлевал санкцию на мое содержание в тюрьме !	O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O B-FAC O
381	Съездил в Каргополь .	O O B-LOC O
382	> Чтоб не напрасно пот бежал , > Рождая крепость стали , > Чтоб день над тьмою ночи встал , > Чтоб искры солнцем стали !	O O O O O O O O O O O O O O O O O O O O O O O O O O
383	Сегодня путь наш на север вдоль Дунайской дуги .	O O O O O O B-LOC I-LOC O
384	Он украинец , массажист , говорит , что был в Англии и т . д .	O B-CHAR O B-CHAR O O O O O O B-LOC O O O O O
385	Даже если у Горбачева нет парламента , имеющего право высказать какое-то мнение , он должен все-таки , по меньшей мере , убедить Политбюро и своих военачальников отказаться от оружия , на которое затрачены годы усилий , научных исследований и огромные средства .	O O O B-PER O B-ORG O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O
386	Потом вернулись .	O O O
387	И вывески написаны нашей « кириллицей » , иные слова совсем по-русски .	O O O O O O O O O O O O O
388	Что повод к этому подал Горбачёв , сказавший в кулуарах конференции : что , мол , интеллигенция ...	O O O O O B-PER O O O O O O O O O O B-CHAR O
389	Что меня увело от установившегося стереотипа действий , не могу понять .	O O O O O O O O O O O O
390	Тёма , у которого мат — разговорный язык , до потолка подпрыгнул : — Неужели ?..	B-PER O O O O O O O O O O O O O O O
391	В Куито-Куанавале уже девять вертолетов , в том числе 2 Алуэта .	O B-LOC O O O O O O O O O O
392	Я рассказала Геле о своём пути , когда я дошла до покаяния и страха перед Богом , Гела прервал меня и сказал , что ему это интересно , он об этом думал .	O O B-PER O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O
393	Морозов извлек из нее ряд театральных находок , но интересного мало .	B-PER O O O O O O O O O O O
394	Даже воробья сегодня увидел очень обрадовался этому , ведь больше месяца никакой живности я не встречал .	O O O O O O O O O O O O O O O O O
395	Наши девушки , так и не ушедшие из редакции , Таня Волошина , Лена Москалева , умудрились взять интервью у Силаева , пожалуй , первое интервью журналистам : — Для нас , как и для всего народа , случившийся переворот стал полной неожиданностью .. , — сказал Силаев .	O B-CHAR O O O O O O O O B-PER I-PER O B-PER I-PER O O O O O B-PER O O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O B-PER O
396	Тогда стражники передавали записки .	O B-CHAR O O O
397	Старая проблема , каков оптимальный уровень информации для народа ?	O O O O O O O O O O
398	Слишком мало оказал помощи в косьбе и уборке сена , хотя я и не просил об этом .	O O O O O O O O O O O O O O O O O O
399	Что отмечал еще и Чехов .	O O O O B-PER O
400	Сегодня , кстати наши « Грады » лупили уже залпами полным боекомплектом .	O O O O O O O O O O O O O
401	Ты уважаешь в себе свою душу .	O O O O O O O
402	Философия в этом случае выступает как наука наук , как всеобъемлющая теоретическая конструкция .	O O O O O O O O O O O O O O
403	Предлагает встретиться , боится , что не успеем свидеться .	O O O O O O O O O O
404	Принесла от Долговых молоко , от Кати Самошиной — коробку с семенами .	O O B-PER O O O B-PER I-PER O O O O O
405	А вот ковш Большой Медведицы и Полярную звезду вижу только как ориентир , и они ничем не отличаются от тех , что дома .	O O O O O O O O O O O O O O O O O O O O O O O O
406	Когда умер Андропов и собралось ПБ , чтоб избрать следующего , председательствовал Устинов .	O O B-PER O O B-ORG O O O O O O B-PER O
407	С 1947 года — милиция в Зеленогорске , участковый в Белоострове .	O O O O O O B-LOC O B-CHAR O B-LOC O
408	В устье это ручей с каменистым ложем и водопадом .	O O O O O O O O O O
409	Отобрали у Фрола баржи , амбары сожгли .	O O B-PER O O O O O
410	Этого еще нам не хватало !	O O O O O O
411	Вот сперва накувыркался бы на своем , сломал голову — сам виноват … все ж лучше , чем от водки ; на своих автомобилях что-то не шибко кувыркаются , ездят спокойно , а дураков везде хватает , туда им и дорога .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
412	Вот сыпь кончается и начинаются сплошные камни , их так много , что надо выбирать место , куда поставить ногу или перепрыгнуть через них .	O O O O O O O O O O O O O O O O O O O O O O O O O
413	На приречной террасе по зарастающей гари в нескольких метрах от обрыва и реки отгородили площадку полиэтиленовым заборчиком 10 x 10 м .	O O O O O O O O O O O O O O O O O O O O O O
414	Это — главное !!! В школе я , видите ли , учусь учиться !	O O O O O O O O O O O O O O
415	Переписывать начал в час ночи « Бхгавадгиту » .	O O O O O O O O O
416	Звоню Ефимову ( редактор « Известий » ) .	O B-PER O B-CHAR B-ORG I-ORG I-ORG O O
417	Ситуации в их странах подтолкнули немца и русского на схожий путь ?	O O O B-LOC O B-CHAR O B-CHAR O O O O
418	Солженицын « Март 17-го » .	B-PER O O O O O
419	На нем Влас — в домино .	O O B-PER O O O O
420	Много хороших танцовщиков и танцовщиц , но не было никого , кто бы на голову выделялся среди всех .	O O B-CHAR O B-CHAR O O O O O O O O O O O O O O
421	Наконец-то заговорили .	O O O
422	Сижу в гостинице « Одесса » .	O O B-FAC I-FAC I-FAC I-FAC O
423	Поставил дату : 1981 — 1985 и написал от руки ( для полноты чувств ) давно задуманную поправку к гл . 1 , которая сразу стала читаться вполне пристойно .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
424	Можно спорить ( меня некоторые вариации не убеждают , около двадцати процентов ) .	O O O O O O O O O O O O O O
425	Самец сцинка на валунах у источника .	O O O O O O O
426	Эти съемки шли параллельно с работой над « Флейтой » .	O O O O O O O O O O O
427	Горбачев и здесь опоздал .	B-PER O O O O
428	Я уже собрался двигаться к Печерскому но тут командир поставил новую задачу .	O O O O O B-PER O O B-CHAR O O O O
429	Хотя Отдел пропаганды ЦК отказывается работать с ним : нет , мол , на него управы .	O B-ORG I-ORG I-ORG O O O O O O O O O O O O O
430	Утром поехали в ПК .	O O O B-ORG O
431	Вчера ( 7-го ) Слава задумал истопить баню для своей семьи , похлестаться веником и помыться .	O O O O B-PER O O O O O B-CHAR O O O O O O
432	Словом , рассуждал довольно решительно в духе статьи Кулиша в « Комсомольской правде » , которая появилась через 2 дня .	O O O O O O O O B-PER O B-ORG I-ORG I-ORG I-ORG O O O O O O O
433	Очень он меня жалостливо просил : « по делу , а не личное » ...	O O O O O O O O O O O O O O O
434	Многое у Гессе мне так понятно , ибо передумано мной и пережито . Люся , жена М . Е . предложила мне слазить на колокольню , там находится художник .	O O B-PER O O O O O O O O O O B-PER O B-CHAR B-PER I-PER I-PER I-PER O O O O B-FAC O O O O O
435	Был весел , бодр .	O O O O O
436	Шугаев пишет книгу о Кустодиеве для серии « Жизнь замечательных людей » и хотел встретиться со мной .	B-PER O O O B-PER O O O O O O O O O O O O O
437	Остальное — кредитные гарантии .	O O O O O
438	Мы с Витей оседлали своих « коней » в половине шестого утра .	O O B-PER O O O O O O O O O O
439	А потом пришел Киреев и сказал , что не шутка .	O O O B-PER O O O O O O O
440	На пути нам встретилось несколько селений — Ближнее Насыпное , Первомайское , Изюмовка .	O O O O O B-LOC O B-LOC I-LOC O B-LOC O B-LOC O
441	Те периоды , когда она в основном отвечает на этот вопрос положительно , мы называем реализмом , когда отрицательно — декадентством .	O O O O O O O O O O O O O O O O O O O O O O
442	Говорят , какой-то генерал в очках , большой ... и Бакланов .	O O O B-CHAR O O O O O O B-PER O
443	Римку вызвали на очную ставку .	B-PER O O O O O
444	По чайханам социальную базу не расширить .	O B-FAC O O O O O
445	Очень переживает нелюбовь к себе .	O O O O O O
446	С тем и уехали к детям .	O O O O O B-CHAR O
447	"Поносили Яковлева : Свининников < com id = "" 14759452234223 "" / > , В . Бондаренко , Жуков и особенно — Салуцкий < com id = "" 14759452234224 "" / > ."	O B-PER O B-PER O O O O O O O O O O B-PER I-PER I-PER O B-PER O O O B-PER O O O O O O O O O O
448	Не в пустоту , в чье-нибудь сердце , память .	O O O O O O O O O O
449	Что за сила стоит за этим сопротивлением , которое надо преодолеть , чтобы вернуться в природное состояние , в утопию , в рай ?	O O O O O O O O O O O O O O O O O O O O O O O O
450	Словом , пронесло по трем статьям .	O O O O O O O
451	А перед концертом Горбачёв вещал что-то о рынке .	O O O B-PER O O O O O
452	И тех из-за света , вернее , его отсутствия , не сумели накормить .	O O O O O O O O O O O O O O
453	Двое трех-четырехлетних сидели в кроватках , как грибочки : серьезные , белоголовые .	O B-MISC O O O O O O O O O O O
454	Разворачивались в боевой порядок , вели огонь , сворачивались и снова двигались вперёд и вперёд за наступающими .	O O O O O O O O O O O O O O O O O O
455	Вячеслав Васильевич Солодун , пилот и инструктор от бога , умеет на самолете делать то , чего другой не сумеет и на велосипеде , и может этому научить любого .	B-PER I-PER I-PER O B-CHAR O B-CHAR O O O O O O O O O O O O O O O O O O O O O O O
456	Обстановка довольно сложная и я бы сказал — неопределенная .	O O O O O O O O O O
457	С В . Персиком выступали в АПН перед небольшой публикой .	O B-PER I-PER I-PER O O B-ORG O O O O
458	Галя уезжает по делам в Москву .	B-PER O O O O B-LOC O
459	25 лет копила я деньги на эту поездку .	O O O O O O O O O
460	$ $ Надо успеть ! $ $	O O O O O O O
461	Я надеялся , что , став президентом , он воспользуется этим и поднимется « над » повседневным политическим процессом .	O O O O O O B-CHAR O O O O O O O O O O O O O
462	Пятилетку уже не в четыре , а в три года !	O O O O O O O O O O O
463	Все , кроме меня , опять купались .	O O O O O O O O
464	Теперь его было не узнать — « обувь , пальтишко , шляпа — нечто ужасное .	O O O O O O O O O O O O O O O O
465	Все встали , плюнули и разошлись .	O O O O O O O
466	Первые полчаса разглядывал местность в ночной бинокль , затем успокоился , выбрал себе ложбинку , устроился поудобнее , благо в бронежилете это сподручно , и предался воспоминаниям .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
467	Отвечал находчиво .	O O O
468	Гастон с ужасом взглянул на опасный макияж в общем-то уже старой женщины и решил немедленно предотвратить митинг .	B-PER O O O O O O O O O O B-CHAR O O O O O O
469	Так и не поняла Ната , как все это произошло .	O O O O B-PER O O O O O O
470	Но председательствующий Вася Соловьев растерялся , в президиуме стали шептаться , начали лукавить , ссылаться на « устав » , и дело было тут же проиграно .	O O B-PER I-PER O O O B-ORG O O O O O O O O O O O O O O O O O O O
471	Там делают вид , что не слышат ни ругани , ни разгорающегося скандала .	O O O O O O O O O O O O O O
472	В знак протеста появляется желание в этих местах не смеяться .	O O O O O O O O O O O
473	Пришел с Асуангэсстроя	O O B-ORG
474	На последних допросах следователи Восковцев и Щербаков говорят о том , что я 20 лет разваливал промышленность , что в МЭП неверно выбирались образцы иностранной аппаратуры , приобретаемой для воспроизводства , в связи с чем мое судебное разбирательство будет вестись с грифом « совершенно секретно » .	O O O B-CHAR B-PER O B-PER O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O
475	На острове не до стихов — заскулишь !	O O O O O O O O
476	Есть ответы на « почему живу » , но мучат сомнения — зачем пишу .	O O O O O O O O O O O O O O O
477	Без привычки очень устали , мужики начали выступать , но куда денешься .	O O O O O B-CHAR O O O O O O O
478	Одна учительница все время говорила первоклассницам * [ над * * чем * * подсмеивался * * наш * * папа ] * : « Ройте артезианский колодец » , т . е . думайте глубже .	O B-CHAR O O O B-CHAR O O O O O O O O O O O O O O B-CHAR O O O O O O O O O O O O O O O O
479	Горбачев знает лично лишь нескольких послов и наверняка ничего не помнит об остальных .	B-PER O O O O B-CHAR O O O O O O O O
480	Утро 30-го .	O O O
481	Как всегда , боюсь связи с внешним миром .	O O O O O O O O O
482	< ... > Дух мой убил тело » .	O O O O O O O O O
483	Адам считает , что надо брать власть .	B-PER O O O O O O O
484	Очень понравился Ташкент .	O O B-LOC O
485	Из его рассказа узнал , что мать получила страшное известие обо мне .	O O O O O O B-CHAR O O O O O O
486	Никогда никуда не беги .	O O O O O
487	Тлетворное влияние Запада !	O O B-LOC O
488	Навел порядок .	O O O
489	Стиль работы там , особенно товарища Лигачева , не изменился : недопустимые разносы , накачки , что называется , на высшем уровне .	O O O O O O B-PER O O O O O O O O O O O O O O O O
490	И интересно , что эта тягомотина отчасти нравится и в эмиграции .	O O O O O O O O O O O O
491	Если до понедельника ничего не узнаю , придётся ехать в город .	O O O O O O O O O O O O
492	Меня огорчило , что после зондирования не хотят операции .	O O O O O O O O O O
493	« Он , по крайней мере , хоть что-то делал » , — говорили простые граждане .	O O O O O O O O O O O O O O O B-CHAR O
494	Но они не рабы , они всё-таки живут .	O O O B-CHAR O O O O O
495	Что они оба интриганы и корыстны .	O O O O O O O
496	Сейчас птицы уже улетели , а остров стал совершенно желтым .	O O O O O O B-LOC O O O O
497	Интереснейшая книга .	O O O
498	Многолюдие бросается в глаза .	O O O O O
499	Сижу на уроке .	O O O O
500	Доклад на уровне толкования документов для тех , кто их не прочитал .	O O O O O O O O O O O O O
501	Очень скоро с Лесной свернула белая Алина машина , остановилась , погасила огни и ненадолго ничто не шевельнулось , как бы сказав : « ну вот — все ... »	O O O B-LOC O O B-PER O O O O O O O O O O O O O O O O O O O O O O O
502	По мнению Сергея , надо использовать более эффективное оружие .	O O B-PER O O O O O O O
503	Ольга сходила к ларьку , отстояла очередь , принесла мне бидончик пива , я стал оживать .	B-PER O O B-FAC O O O O O O O O O O O O O
504	Это вызвало более чем удивление практически всех , в том числе партбюро .	O O O O O O O O O O O O O
505	Объявили и о моем фильме .	O O O O O O
506	Правда , и наш Лукич , очень не жалующий женщин за штурвалом , руку не слабо приложил .	O O O O B-PER O O O O B-CHAR O O O O O O O O
507	Вчера вечером приехали на дачу С . П . и Валя — ели шарлотку и немножечко выпили .	O O O O O B-PER I-PER I-PER I-PER O B-PER O O O O O O O
508	Смехов требует играть вечером .	B-PER O O O O
509	Стоит золотая осень , стоит долго : уже листопад , в разгаре , а погода звенит , и земля отдыхает после урожая .	O O O O O O O O O O O O O O O O O O O O O O O
510	Она взяла меня и вправе отпустить в любой момент .	O O O O O O O O O O
511	Прошла операция в уезде Спинбульдак .	O O O O B-LOC O
512	Целый раздел , например , посвящен разносу сепаратизма и национализма в Прибалтике : надо быть идиотом или провокатором , чтоб такое « предложить » для Лондона .	O O O O O O O O O O O B-LOC O O O B-CHAR O B-CHAR O O O O O O O B-LOC O
513	Однако ему было сказано , что в этом случае , если он так плох , лучше , может быть , вовсе уйти с поста директора .	O O O O O O O O O O O O O O O O O O O O O O O O B-CHAR O
514	Реквизит разложен по местам .	O O O O O
515	25.10.95 . № 43 ) .	O O O O O O
516	Пока гуляли , забрали Витальку .	O O O O B-PER O
517	Там , за рубежом , и здесь дома Горбачев — это разные фигуры , — и по тому , как он воспринимается тут и там , и по собственному его самочувствию .	O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O
518	Надеяться очень хочется .	O O O O
519	Вторник Расул Гамзатов : « Присвоение Вам высокого заслуженного звания является поводом выразить Вам свою благодарность за радость , которую Вы доставляете всем своим высоким искусством .	O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O
520	— На каждый предмет—служебное решение , опись , экспертиза » . )	O O O O O O O O O O O O
521	О том , что существуют какие-то другие поэты .	O O O O O O O B-CHAR O
522	Вам — тучи , красота , ну , дождь ; а нам — засветки , тысяч до двенадцати , смещением к взлетному курсу , ветер … как там локатор на машине , не дохлый ли … и глаз ловит маленькую двухмоторную « Элку » , юрко шныряющую между столбами дождевых зарядов : доброго пути вам , счастливо проскочить … да-а , без локатора-то … помню , раз на Ил-14 … а мы как-то под Братском …	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O
523	А . , вл .	O O O O O
524	Все время была жадность до рассказов , жадность до общения .	O O O O O O O O O O O
525	Утром получил письмо , которое Людмила передала с Сергеем Ярковым .	O O O O O B-PER O O B-PER I-PER O
526	В лицеях пусто .	O B-FAC O O
527	Р . М . слушала рассеянно .	O O O O O O O
528	Известно о телеграмме Сахарова , Попова и др . с призывом к двухчасовой забастовке .	O O O B-PER O B-PER O O O O O O O O O
529	В крушении культуры мещанин тоже сыграл свою немалую роль .	O O O B-CHAR O O O O O O
530	Ухин вспоминал свою работу в армейской газете во время войны , Симонова , Твардовского , с которым довелось встречаться .	B-PER O O O O O O O O O O B-PER O B-PER O O O O O O
531	Да нет , в обеих вместе неделимо — Мастер и Маргарита .	O O O O O O O O B-PER O B-PER O
532	Получила открытку от Гали * — * поразительно , как они ничего не знают про нас и не понимают .	O O O B-PER O O O O O O O O O O O O O O O O
533	Клевер цвел в октябре , и маслята поздние пошли .	O O O O O O O O O O
534	Его условия : пусть новая власть реабилитирует его от королевского суда , оправдает в глазах людей .	O O O O O O O O O O O O O O O O O
535	Как будет ездить Леон и учительница к Андрюше ?	O O O B-PER O B-CHAR O B-PER O
536	Сразу выяснилось , что сначала я должен « изложить вопрос » Касанову .	O O O O O O O O O O O B-PER O
537	Но тот хоть искупил все разом .	O O O O O O O
538	На воде вырисовывались различной формы фигуры , отражения от льдин , проходящих мимо нас .	O O O O O O O O O O O O O O O
539	Думать , что если он вдруг сделается холоден , спокоен , безразличен , я почувствую боль , мне будет плохо , и я побегу – на собрание , куда угодно .	O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC O O O O
540	Ну , еще страшное партейное взыскание — « на вид » поставят .	O O O O O O O O O O O O O
541	Все утро спрашивал , как заявление на допуск адвоката писать .	O O O O O O O O B-CHAR O O
542	Пусть делают так , как желают сыновья .	O O O O O O B-CHAR O
543	Чтение « Белой гвардии » : несколько наивно — нет булгаковской зацепки !	O O O O O O O O O O O O O
544	Веничка поделился , что больше всех он любит Ван Гога .	B-PER O O O O O O O B-PER I-PER O
545	Страшная слабость ...	O O O
546	По докладам М . С . Горбачева и Н . И . Рыжкова были приняты соответствующие постановления ЦК КПСС .	O O B-PER I-PER I-PER I-PER I-PER O B-PER I-PER I-PER I-PER I-PER O O O O B-ORG I-ORG O
547	А ведь Леон просил меня отозваться лишь о Жаке Ланге .	O O B-PER O O O O O B-PER I-PER O
548	Много звонил по телефону .	O O O O O
549	Учителей забирают в армию , хотя есть указание правительства о предоставлении им отсрочки .	B-CHAR O O B-ORG O O O O O O O O O O
550	Встреча с Цукановым ( главным , всесильным помощником Брежнева ) у метро Смоленская .	O O B-PER O O O O B-CHAR B-PER O O B-LOC I-LOC O
551	Но и цены хороши .	O O O O O
552	Госпожа Боннэр рассказала , что к ней поступили сотни соболезнований и даже телеграмма соболезнования от бастующих рабочих одного завода .	B-CHAR B-PER O O O O O O O O O O O O O O O O B-FAC O
553	— Каковы ваши дальнейшие планы ? — спросил я телеоператора .	O O O O O O O O O B-CHAR O
554	Но это далеко не так !	O O O O O O
555	Ливанов говорит , что у меня лёгкая рука : в марте послал его многострадальную повесть про Ивана , себя не помнящего , Борису Никольскому в питерскую « Неву » ( « ЛитРоссия » печатать наотрез отказалась ) , и там её через месяц опубликовали .	B-PER O O O O O O O O O O O O O O O B-PER O O O O O B-PER I-PER O O B-ORG I-ORG I-ORG O B-ORG I-ORG I-ORG O O O O O O O O O O O O
556	4 ) Коротич - А . Иванову и др . в связи с Андреевой	O O B-PER O B-PER I-PER I-PER O O O O O O B-PER
557	Учительница говорит : — Я им довольна .	B-CHAR O O O O O O O
558	Здесь много всякой работы » .	O O O O O O
559	[ * в * * издательстве * * « Мысль » * * готовится * * новое * * издание * * « Герцен * * против * * самодержавия * » ] .	O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O B-PER O O O O O O O O O O
560	Кириллов !	B-PER O
561	А после политического решения — поезд уйдет ...	O O O O O O O O
562	На сегодня остались перец и персики .	O O O O O O O
563	Все , собственно , получил полной мерой .	O O O O O O O O
564	Сейчас якобы картина обратная : женщина идет впереди мужчины .	O O O O O B-CHAR O O B-CHAR O
565	Вот ведь , погулял , наверное , по Петербургу !	O O O O O O O O B-LOC O
566	Будь сильным , борись , как зверь , как все живое , побеждай ; пусть проигравший плачет — смотри , ужасайся и не будь таким .	O O O O O O O O O O O O O O O O O O O O O O O O O O
567	А там , сбоку … это предусмотрено дядей , это хоть и близко , но не опасно .	O O O O O O O B-CHAR O O O O O O O O O O
568	Буду записывать то , что сделала за день .	O O O O O O O O O
569	В метре от несчастья .	O O O O O
570	Мне все интересно .	O O O O
571	Настроение отвратительное .	O O O
572	Но — Арка Септилия Севера и чёрные стены Колизея - больше в этот странный день не видим ничего !	O O O B-PER I-PER O O O B-LOC O O O O O O O O O O
573	Эту расхожую истину я вспомнил , читая рукопись кемеровского поэта М . А . Небогатова .	O O O O O O O O O B-CHAR B-PER I-PER I-PER I-PER I-PER O
574	Проходка в час 100 метров , а длина канала 6 километров .	O O O O O O O O O O O O
575	Болгарские сигареты стоят 7 руб .	O O O O O O
576	А в Анаве познакомлюсь с этим бардом .	O O B-LOC O O O B-CHAR O
577	Хотел посмотреть территорию , лесозавод , но нельзя — запишут склонность к побегу .	O O O O B-FAC O O O O O O O O O
578	Без радости прошла встреча Нов . года вдвоём , не было ни ёлочки , ни зелёной ветки .	O O O O O O O O O O O O O O O O O O
579	Восьмой день я здесь .	O O O O O
580	А было и есть всего несколько путей жизни : доказывать по восходящей средствами любовной , заранее принятой игры ; принимать окончательное решение и действовать и , наконец , – принимать боль .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
581	Смотрел фильм о Тарковском , Худенко и других .	O O O B-PER O B-PER O O O
582	Они могут быть очень полезны для детей , эти грустные сказки .	O O O O O O B-CHAR O O O O O
583	Как-то вдруг .	O O O
584	Все — плохи !	O O O O
585	Коля , лежа у меня в кабинете , прочитал повесть .	B-PER O O O O O O O O O O
586	Политическое расслоение общества оказывало свое влияние и на депутатов Верховного Совета РСФСР .	O O O O O O O O B-CHAR B-ORG I-ORG I-ORG O
587	Несколько часов сидели в кафе , в десятый раз терзаясь одним и тем же вопросом : почему ?	O O O O B-FAC O O O O O O O O O O O O O
588	Она располагается на территории нашего района .	O O O O O B-LOC O
589	Федор Санжиевич в первый же вечер привез его на эту квартиру , где было все , о чем мог мечтать юноша , а главное — видик и огромное количество пленок .	B-PER I-PER O O O O O O O O O O O O O O O O O O B-CHAR O O O O O O O O O O
590	Видимо , хотел бы Филиппа оградить от общественного воспитания .	O O O O B-PER O O O O O
591	Це наслідок хвороби соціалістичного реалізму .	O O O O O O
592	А мы живем пока в неизвестности .	O O O O O O O
593	А потому , что трусишь стать перед фактом .	O O O O O O O O O
594	В этом ничего нет хорошего , что я сиднем сижу в номере и не шатаюсь , к примеру , по Парижскому кварталу или там по Рыбацкому бастиону — я всем говорю , что я это все видел сто и больше раз , а сам ни черта не видал и видеть не имею желания .	O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O
595	Сейчас все помыслы связаны с будущим спектаклем .	O O O O O O O O
596	Ларсен , откапывающий карлика ...	B-PER O O B-CHAR O
597	Наверное , подействовало увиденное , да и погода свою роль сыграла .	O O O O O O O O O O O O
598	Утром 22-го проводили Николая Николаевича .	O O O B-PER I-PER O
599	Пока же придумываю все с яйца , готовлюсь к каждому занятию .	O O O O O O O O O O O O
600	Усложнилась проблема досуга .	O O O O
601	Теснота страшная .	O O O
