,tokens,BIO_str,BIO_nums,BIO_list
255,Ко всем равнодушен .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
256,"Вот счастье — оторвать себя от письменного стола или мрачного ( двуцветного ) телевизора и неразумно , как нельзя более невовремя махнуть в лес !",O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
257,"— Значит когда мы вылезем из ракеты , то будем ходить по Луне вверх ногами ?",O O O O O O O O O O O O B-LOC O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
258,"Ясно , в чью пользу будет « президент » .",O O O O O O O B-CHAR O O,"[10, 10, 10, 10, 10, 10, 10, 8, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O']"
259,"Одно стихотворение Игоря « Человек приходит к человеку » как бы открывает номер — оно очень современное : о войне и мире , напечатано на титульном листе .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
260,"Передача была про американский школьный лагерь , причем международный .",O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
261,"Там также и о том , почему народ отворачивается от перестройки .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
262,> — Гм — ответил в раздумье Незнайка — Кажеться на самом деле получается что-то не совсем что надо !,O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
263,"Так и пробродил весь день — только к половине девятого добрался до своего номера 429 — увы , с телевизором неработающим , хотя и оплаченным .",O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
265,Его смешанные чувства к Паустовскому разделяю .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
266,"> Миша . Райка , перестройка ,",O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
268,Правда матерился он и до этого разбирая сложенную накануне перегородку .,O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
269,"Наконец артиллерия пристрелялась , и слышатся восторженные голоса : « Так их , так !",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
271,Утром позвонила плачущая Анечка Фелюрская — у них под окнами опять возводят баррикады .,O O O B-PER I-PER O O O O O O O O O,"[10, 10, 10, 6, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
272,"« Нормально » , — отвечает Эдвин . Гуляли в Коломенском с Эдвином и Наташей Шуттэ .",O O O O O O B-PER O O O B-LOC O B-PER O B-PER I-PER O,"[10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 0, 10, 6, 10, 6, 7, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'B-LOC', 'O', 'B-PER', 'O', 'B-PER', 'I-PER', 'O']"
274,— Семён Семёнович ?,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
275,"Это — шитье золотом и русская деревянная скульптура , пушка Пугачева , флаг Наполеоновской армии , произведения народного искусства .",O O O O O O O O O O B-PER O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
276,"Приглашали зайти в отдел , отпраздновать безалкогольно Новый год .",O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
277,Четыре аккуратные бабушки сидят на отдельных скамьях .,O O B-CHAR O O O O O,"[10, 10, 8, 10, 10, 10, 10, 10]","['O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O']"
279,"Этот дворец был резиденцией Черчилля в период Ялтинской конференции и так понравился английскому премьеру , что он сказал : « Я чувствую себя здесь , как в доброй старой Англии » .",O O O O B-PER O O O O O O O B-CHAR I-CHAR O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'I-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
280,— Дела у нас неважные .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
281,> — Ничего себе дельце ! — воскликнул Пончик .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
282,Но только на выхадные .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
283,"Не зная , что мать уже давно ( 31.05 . ) из бол-цы дома , он проехал туда навестить её , а потом к нам .",O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
284,Москва .,B-LOC O,"[0, 10]","['B-LOC', 'O']"
285,Имеется множество способов увильнуть от выбора .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
286,"Вообще , слишком много слухов , как в добрые старые времена .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
287,"И на начальство стал тянуть не по чину — не только на Егора Кузьмича , но и на Михаила Сергеевича и даже — господи спаси ! — на Раису по слухам Максимовну .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
288,— Сменили дверцы шкафов на раздвижные .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
289,В районе горла и груди .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
290,Приехали туда мы позднее чем надо .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
291,"Политическая жизнь Горбачева , видимо , продолжится в новом качестве , и я не хочу спешить с подведением ее полных итогов .",O O B-PER O O O O O O O O O O O O O O O O O O O,"[10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
292,"Закуски так обильны , что после них мы сразу перешли к десерту .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
293,"Разделение Германии было неестественным и , по моему убеждению , должно быть аннулировано и чем скорее , тем лучше при условии , конечно , что в ГДР пройдут настоящие свободные выборы .",O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O,"[10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10]","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
294,"Причём не эзоповская или загадочная недоговорённость , а нечёткость в стержне — в сюжете , в мысли .",O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
295,"— Ну , чё , сынок , поехали ?",O O O O O B-CHAR O O O,"[10, 10, 10, 10, 10, 8, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O']"
296,А « Византия » будет дотлевать за океаном .,O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
297,"Среди них некоторые бывшие отказники из Москвы и Ленинграда , например наш старый друг Наум Бегун .",O O O O O O B-LOC O B-LOC O O O O O O O O,"[10, 10, 10, 10, 10, 10, 0, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
300,"Кстати , уверен , это новый Норинский < com id = "" 1475945221490 "" / > , КГБ опять имеет тут шанс отличиться .",O O O O O O B-PER O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
302,Я сразу прочитал .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
305,"После ужина в клубе концерт я не пошел сегодня намаялся , давно я столько не работал .",O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
306,"Телефона нет , но радио имеется .",O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
308,Надо только понять будущим исследователям психологии людей в период т . н . перестройки : какой же гигантской силы пресс советской действительности нас плющил — а мы выжили !,O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
309,Надо бы кое-что выписать .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
310,Жора пыжился невероятно .,B-PER O O O,"[6, 10, 10, 10]","['B-PER', 'O', 'O', 'O']"
311,"Она мне — Ерофеев сумасшедший , но мы ото всех это скрываем .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
312,"Наконец договорились с частником , который взялся довезти нас до места за 40 рублей .",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
313,"Вот оно было , « вчера » .",O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
314,Вчера я смотрел М . С . в Красноярске по Т V .,O O O B-PER I-PER I-PER I-PER O O O O O O,"[10, 10, 10, 6, 7, 7, 7, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
315,Вчера ночь без единого выстрела из кишлака .,O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
316,"Получал 1 , 2 , 3 , 4 , 5 .",O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
319,Ну а если не пожелал войти ?,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
320,Ира привезла маленькие подарки Сашке — носки .,O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
322,"Под вечер маленький Женя сам пожаловал к нам в гости , разумеется , на руках матери .",O O O B-PER O O O O O O O O O O O B-CHAR O,"[10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10]","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
324,"Мы бросили монеты , чтобы вернуться .",O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
325,Они оказались неожиданными даже для меня : Ельцин получил более 90 % голосов !!,O O O O O O O B-PER O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
327,"Конечно , Посетитель наивен , ну уйдет Казьмин с поста , а на его место придет другой запятнанный человек , да тот же Ермаков , который достаточно ловок и силен , и уничтожил компрометирующие документы .",O O B-CHAR O O O O B-PER O O O O O O O O O O B-CHAR O O O O B-PER O O O O O O O O O O O O,"[10, 10, 8, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
328,Теперь все ( или многое ) будет зависеть от меня самой .,O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
330,"Полдня спят по углам , залезая в трубы , вентиляционные короба , на чердаке , за досками и т.д .",O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
331,> — По-моему нет никакого шума — ответил он .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
333,"Но всё же эта непонятная осторожность — она во многих его военных стихах — чем-то и импонирует , что-то мешает назвать очевидную претенциозность Межирова пустой .",O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
335,Третьей была Физика .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
337,Но к 9 ти приехали Сашка с Вовкой и свозили меня в столовую в порт .,O O O O O B-PER O B-PER O O O O O O O O,"[10, 10, 10, 10, 10, 6, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
338,Утром мне обещан перевод в одноместный .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
340,"Наверное , всё же дневальный , но уверенности всё же нет .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
341,В среду к нам приезжали Тетя Галя с Ирой .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
342,Вчера рылся в книгах и наткнулся в библиотеке Музея на книгу Е . Васильевой и С . Маршака « Театр дня детей » .,O O O O O O O O O O O B-PER I-PER I-PER O B-PER I-PER I-PER O O O B-CHAR O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 7, 7, 10, 6, 7, 7, 10, 10, 10, 8, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'B-CHAR', 'O', 'O']"
343,* Швейцария * * живет * * в * * сердце * * и * * в * * душе * * Алены . * < ... > Дома в 4 часа .,O B-LOC O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O,"[10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
346,И Витя купил ей билет домой .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
347,"Утром доктор установил , что у нее воспалена сильно правая яичная труба , лечение должно длиться две недели .",O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
349,"Если « средний пилот » перелетит в Сочи метров 300-400 ( на оценку 4 ! ) , а по графику для посадки у него потребная длина ВПП проходит тютелька в тютельку 2200 метров , то в конце пробега , на скорости 130 , ему придется решать трудную задачу : выключать ? не выключать ? держать реверс до полной остановки ? выпорют ? не выпорют ?",O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
350,Теперь уже не отлучишься из полка .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
351,А бабы ?!,O B-CHAR O,"[10, 8, 10]","['O', 'B-CHAR', 'O']"
352,Зачем он так говорит ?,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
353,"У меня жгло глаза , как после сварки .",O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
355,Ахмат Наби обещал помочь и дать ответ через 3 дня .,B-PER I-PER O O O O O O O O O,"[6, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
356,В Чернобыле долго стояли на перегрузке не было автобуса .,O B-LOC O O O O O O O O,"[10, 0, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
357,Анекдот : совещание у директора .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
358,Слуги его были его друзьями .,B-CHAR O O O B-CHAR O,"[8, 10, 10, 10, 8, 10]","['B-CHAR', 'O', 'O', 'O', 'B-CHAR', 'O']"
360,"В Иванове у Виталия Федоровича , попытаюсь пройти курс в барокамере .",O O O B-PER I-PER O O O O O O O,"[10, 10, 10, 6, 7, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
362,"Когда они это осознали , то быстро встали .",O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
363,Мы — за Ельцина .,O O O B-PER O,"[10, 10, 10, 6, 10]","['O', 'O', 'O', 'B-PER', 'O']"
364,Сегодня Крещение .,O O O,"[10, 10, 10]","['O', 'O', 'O']"
365,— Пётр Петрович ?,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
368,А остальное — потом .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
371,"По — русски знают только « раствор » , « кирпич » и « заебись » .",O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
373,Мы перебрались в имение .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
374,Здесь есть библиотека .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
376,— До Шинданда возьмете ?,O O B-LOC O O,"[10, 10, 0, 10, 10]","['O', 'O', 'B-LOC', 'O', 'O']"
377,Ведь путешествие наше самое поверхностное .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
378,Мы смотрим Гардемаринов .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
380,Цивилизация пережила две коренных ломки .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
381,"Где будем воевать , пока неясно .",O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
382,Почитал химию за 10-ый класс .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
385,Горбачёв сидит взаперти в Форосе .,B-PER O O O O O,"[6, 10, 10, 10, 10, 10]","['B-PER', 'O', 'O', 'O', 'O', 'O']"
386,"Жаль , что не было путевки в Алушту : там по сравнению с Ялтой — рай , тишина и свобода от розовой массы человеческого тела на пляже .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
387,"Но не сделал никакого намека , попытки разубедить меня или задержать мою отставку .",O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
